Timestep,SecondaryStratumID,TransitionGroupID,Amount
2020,Alabama,Reforestation: Cropland,0
2020,Arizona,Reforestation: Cropland,0
2020,Arkansas,Reforestation: Cropland,0
2020,California,Reforestation: Cropland,0
2020,Colorado,Reforestation: Cropland,0
2020,Connecticut,Reforestation: Cropland,0
2020,Delaware,Reforestation: Cropland,0
2020,Florida,Reforestation: Cropland,0
2020,Georgia,Reforestation: Cropland,0
2020,Idaho,Reforestation: Cropland,0
2020,Illinois,Reforestation: Cropland,0
2020,Indiana,Reforestation: Cropland,0
2020,Iowa,Reforestation: Cropland,0
2020,Kansas,Reforestation: Cropland,0
2020,Kentucky,Reforestation: Cropland,0
2020,Louisiana,Reforestation: Cropland,0
2020,Maine,Reforestation: Cropland,0
2020,Maryland,Reforestation: Cropland,0
2020,Massachusetts,Reforestation: Cropland,0
2020,Michigan,Reforestation: Cropland,0
2020,Minnesota,Reforestation: Cropland,0
2020,Mississippi,Reforestation: Cropland,0
2020,Missouri,Reforestation: Cropland,0
2020,Montana,Reforestation: Cropland,0
2020,Nebraska,Reforestation: Cropland,0
2020,Nevada,Reforestation: Cropland,0
2020,New Hampshire,Reforestation: Cropland,0
2020,New Jersey,Reforestation: Cropland,0
2020,New Mexico,Reforestation: Cropland,0
2020,New York,Reforestation: Cropland,0
2020,North Carolina,Reforestation: Cropland,0
2020,North Dakota,Reforestation: Cropland,0
2020,Ohio,Reforestation: Cropland,0
2020,Oklahoma,Reforestation: Cropland,0
2020,Oregon,Reforestation: Cropland,0
2020,Pennsylvania,Reforestation: Cropland,0
2020,Rhode Island,Reforestation: Cropland,0
2020,South Carolina,Reforestation: Cropland,0
2020,South Dakota,Reforestation: Cropland,0
2020,Tennessee,Reforestation: Cropland,0
2020,Texas,Reforestation: Cropland,0
2020,Utah,Reforestation: Cropland,0
2020,Vermont,Reforestation: Cropland,0
2020,Virginia,Reforestation: Cropland,0
2020,Washington,Reforestation: Cropland,0
2020,West Virginia,Reforestation: Cropland,0
2020,Wisconsin,Reforestation: Cropland,0
2020,Wyoming,Reforestation: Cropland,0
2020,Alabama,Reforestation: Pasture,0
2020,Arizona,Reforestation: Pasture,0
2020,Arkansas,Reforestation: Pasture,0
2020,California,Reforestation: Pasture,0
2020,Colorado,Reforestation: Pasture,0
2020,Connecticut,Reforestation: Pasture,0
2020,Delaware,Reforestation: Pasture,0
2020,Florida,Reforestation: Pasture,0
2020,Georgia,Reforestation: Pasture,0
2020,Idaho,Reforestation: Pasture,0
2020,Illinois,Reforestation: Pasture,0
2020,Indiana,Reforestation: Pasture,0
2020,Iowa,Reforestation: Pasture,0
2020,Kansas,Reforestation: Pasture,0
2020,Kentucky,Reforestation: Pasture,0
2020,Louisiana,Reforestation: Pasture,0
2020,Maine,Reforestation: Pasture,0
2020,Maryland,Reforestation: Pasture,0
2020,Massachusetts,Reforestation: Pasture,0
2020,Michigan,Reforestation: Pasture,0
2020,Minnesota,Reforestation: Pasture,0
2020,Mississippi,Reforestation: Pasture,0
2020,Missouri,Reforestation: Pasture,0
2020,Montana,Reforestation: Pasture,0
2020,Nebraska,Reforestation: Pasture,0
2020,Nevada,Reforestation: Pasture,0
2020,New Hampshire,Reforestation: Pasture,0
2020,New Jersey,Reforestation: Pasture,0
2020,New Mexico,Reforestation: Pasture,0
2020,New York,Reforestation: Pasture,0
2020,North Carolina,Reforestation: Pasture,0
2020,North Dakota,Reforestation: Pasture,0
2020,Ohio,Reforestation: Pasture,0
2020,Oklahoma,Reforestation: Pasture,0
