StratumID,DistributionTypeID,ExternalVariableTypeID,ExternalVariableMin,ExternalVariableMax,Amount
Coast Range,Urbanization: Open,Urbanization,2001,2006,0
Puget Lowland,Urbanization: Open,Urbanization,2001,2006,520
Willamette Valley,Urbanization: Open,Urbanization,2001,2006,480
Cascades,Urbanization: Open,Urbanization,2001,2006,0
Sierra Nevada,Urbanization: Open,Urbanization,2001,2006,20
Central California Foothills and Coastal Mountains,Urbanization: Open,Urbanization,2001,2006,560
Central California Valley,Urbanization: Open,Urbanization,2001,2006,1160
Southern California Mountains,Urbanization: Open,Urbanization,2001,2006,120
Eastern Cascades Slopes and Foothills,Urbanization: Open,Urbanization,2001,2006,100
Columbia Plateau,Urbanization: Open,Urbanization,2001,2006,280
Blue Mountains,Urbanization: Open,Urbanization,2001,2006,160
Snake River Plain,Urbanization: Open,Urbanization,2001,2006,320
Central Basin and Range,Urbanization: Open,Urbanization,2001,2006,1380
Mojave Basin and Range,Urbanization: Open,Urbanization,2001,2006,1160
Northern Rockies,Urbanization: Open,Urbanization,2001,2006,240
Idaho Batholith,Urbanization: Open,Urbanization,2001,2006,0
Middle Rockies,Urbanization: Open,Urbanization,2001,2006,280
Wyoming Basin,Urbanization: Open,Urbanization,2001,2006,500
Wasatch and Uinta Mountains,Urbanization: Open,Urbanization,2001,2006,160
Colorado Plateaus,Urbanization: Open,Urbanization,2001,2006,440
Southern Rockies,Urbanization: Open,Urbanization,2001,2006,200
Arizona/New Mexico Plateau,Urbanization: Open,Urbanization,2001,2006,600
Arizona/New Mexico Mountains,Urbanization: Open,Urbanization,2001,2006,160
Chihuahuan Deserts,Urbanization: Open,Urbanization,2001,2006,1760
High Plains,Urbanization: Open,Urbanization,2001,2006,4720
Southwestern Tablelands,Urbanization: Open,Urbanization,2001,2006,1540
Central Great Plains,Urbanization: Open,Urbanization,2001,2006,1300
Flint Hills,Urbanization: Open,Urbanization,2001,2006,60
Cross Timbers,Urbanization: Open,Urbanization,2001,2006,1480
Edwards Plateau,Urbanization: Open,Urbanization,2001,2006,1260
Southern Texas Plains,Urbanization: Open,Urbanization,2001,2006,500
Texas Blackland Prairies,Urbanization: Open,Urbanization,2001,2006,1480
East Central Texas Plains,Urbanization: Open,Urbanization,2001,2006,420
Western Gulf Coastal Plain,Urbanization: Open,Urbanization,2001,2006,3160
South Central Plains,Urbanization: Open,Urbanization,2001,2006,2080
Ouachita Mountains,Urbanization: Open,Urbanization,2001,2006,300
Arkansas Valley,Urbanization: Open,Urbanization,2001,2006,420
Boston Mountains,Urbanization: Open,Urbanization,2001,2006,100
Ozark Highlands,Urbanization: Open,Urbanization,2001,2006,1340
Central Irregular Plains,Urbanization: Open,Urbanization,2001,2006,1220
Canadian Rockies,Urbanization: Open,Urbanization,2001,2006,0
Northwestern Glaciated Plains,Urbanization: Open,Urbanization,2001,2006,360
Northwestern Great Plains,Urbanization: Open,Urbanization,2001,2006,280
Nebraska Sand Hills,Urbanization: Open,Urbanization,2001,2006,60
Piedmont,Urbanization: Open,Urbanization,2001,2006,14620
Northern Glaciated Plains,Urbanization: Open,Urbanization,2001,2006,300
Western Corn Belt Plains,Urbanization: Open,Urbanization,2001,2006,3280
Lake Agassiz Plain,Urbanization: Open,Urbanization,2001,2006,160
Northern Minnesota Wetlands,Urbanization: Open,Urbanization,2001,2006,0
Northern Lakes and Forests,Urbanization: Open,Urbanization,2001,2006,360
North Central Hardwood Forests,Urbanization: Open,Urbanization,2001,2006,2860
Driftless Area,Urbanization: Open,Urbanization,2001,2006,480
Southeastern Wisconsin Till Plains,Urbanization: Open,Urbanization,2001,2006,3060
Central Corn Belt Plains,Urbanization: Open,Urbanization,2001,2006,2440
Eastern Corn Belt Plains,Urbanization: Open,Urbanization,2001,2006,2800
Southern Michigan/Northern Indiana Drift Plains,Urbanization: Open,Urbanization,2001,2006,1200
Huron/Erie Lake Plains,Urbanization: Open,Urbanization,2001,2006,620
Northeastern Highlands,Urbanization: Open,Urbanization,2001,2006,400
Northeastern Coastal Zone,Urbanization: Open,Urbanization,2001,2006,4300
Northern Allegheny Plateau,Urbanization: Open,Urbanization,2001,2006,120
Erie Drift Plain,Urbanization: Open,Urbanization,2001,2006,1420
North Central Appalachians,Urbanization: Open,Urbanization,2001,2006,60
Middle Atlantic Coastal Plain,Urbanization: Open,Urbanization,2001,2006,2860
Northern Piedmont,Urbanization: Open,Urbanization,2001,2006,2440
Southeastern Plains,Urbanization: Open,Urbanization,2001,2006,7540
Blue Ridge,Urbanization: Open,Urbanization,2001,2006,540
Ridge and Valley,Urbanization: Open,Urbanization,2001,2006,5320
Southwestern Appalachians,Urbanization: Open,Urbanization,2001,2006,540
Central Appalachians,Urbanization: Open,Urbanization,2001,2006,180
Western Allegheny Plateau,Urbanization: Open,Urbanization,2001,2006,1520
Interior Plateau,Urbanization: Open,Urbanization,2001,2006,4080
Interior River Valleys and Hills,Urbanization: Open,Urbanization,2001,2006,1400
Mississippi Alluvial Plain,Urbanization: Open,Urbanization,2001,2006,1100
Mississippi Valley Loess Plains,Urbanization: Open,Urbanization,2001,2006,2300
Southern Coastal Plain,Urbanization: Open,Urbanization,2001,2006,5040
