Name,Description
10% commercial thinning,This disturbance type can be used to simulate a 10% reduction in biomass carbon and a transfer of the merchantable C to the forest product sector (FPS). The remaining carbon removed from the biomass pools is transferred to the respective DOM pools.
15% commercial thinning,This disturbance type can be used to simulate a 15% reduction in biomass carbon and a transfer of the merchantable C to the forest product sector (FPS). The remaining carbon removed from the biomass pools is transferred to the respective DOM pools.
20% commercial thinning,This disturbance type can be used to simulate a 20% reduction in biomass carbon and a transfer of the merchantable C to the forest product sector (FPS). The remaining carbon removed from the biomass pools is transferred to the respective DOM pools.
25% commercial thinning,This disturbance type can be used to simulate a 25% reduction in biomass carbon and a transfer of the merchantable C to the forest product sector (FPS). The remaining carbon removed from the biomass pools is transferred to the respective DOM pools.
30% commercial thinning,This disturbance type can be used to simulate a 30% reduction in biomass carbon and a transfer of the merchantable C to the forest product sector (FPS). The remaining carbon removed from the biomass pools is transferred to the respective DOM pools.
35% commercial thinning,This disturbance type can be used to simulate a 35% reduction in biomass carbon and a transfer of the merchantable C to the forest product sector (FPS). The remaining carbon removed from the biomass pools is transferred to the respective DOM pools.
40% commercial thinning,This disturbance type can be used to simulate a 40% reduction in biomass carbon and a transfer of the merchantable C to the forest product sector (FPS). The remaining carbon removed from the biomass pools is transferred to the respective DOM pools.
45% commercial thinning,This disturbance type can be used to simulate a 45% reduction in biomass carbon and a transfer of the merchantable C to the forest product sector (FPS). The remaining carbon removed from the biomass pools is transferred to the respective DOM pools.
50% commercial thinning,This disturbance type can be used to simulate a 50% reduction in biomass carbon and a transfer of the merchantable C to the forest product sector (FPS). The remaining carbon removed from the biomass pools is transferred to the respective DOM pools.
55% commercial thinning,This disturbance type can be used to simulate a 55% reduction in biomass carbon and a transfer of the merchantable C to the forest product sector (FPS). The remaining carbon removed from the biomass pools is transferred to the respective DOM pools.
60% commercial thinning,This disturbance type can be used to simulate a 60% reduction in biomass carbon and a transfer of the merchantable C to the forest product sector (FPS). The remaining carbon removed from the biomass pools is transferred to the respective DOM pools.
65% commercial thinning,This disturbance type can be used to simulate a 65% reduction in biomass carbon and a transfer of the merchantable C to the forest product sector (FPS). The remaining carbon removed from the biomass pools is transferred to the respective DOM pools.
70% commercial thinning,This disturbance type can be used to simulate a 70% reduction in biomass carbon and a transfer of the merchantable C to the forest product sector (FPS). The remaining carbon removed from the biomass pools is transferred to the respective DOM pools.
75% commercial thinning,This disturbance type can be used to simulate a 75% reduction in biomass carbon and a transfer of the merchantable C to the forest product sector (FPS). The remaining carbon removed from the biomass pools is transferred to the respective DOM pools.
85% precommercial thinning,Sylva 85% precommercial thinning (Éclaircie précommerciale)
97% clear-cut,Sylva Cutting with Protection and Regeneration of Soils (CPRS) (97% clear-cut)
Afforestation,The conversion of land that has been nonforest for at least 50 years to forested land.
Aspen Defoliators — Type A,Aspen defoliators — Type A
Aspen Defoliators — Type B,Aspen defoliators — Type B
Aspen Defoliators — Type C,Aspen defoliators — Type C
Aspen Defoliators — Type D,Aspen defoliators — Type D
Aspen Defoliators — Type E,Aspen defoliators — Type E
Aspen Defoliators — Type F,Aspen defoliators — Type F
